Entity,Code,Year,GDP per capita (int.-$) ($)
Colombia,COL,1970,4209
Colombia,COL,1971,4524
Colombia,COL,1972,4832
Colombia,COL,1973,5208
Colombia,COL,1974,5543
Colombia,COL,1975,5747
Colombia,COL,1976,5986
Colombia,COL,1977,6165
Colombia,COL,1978,6494
Colombia,COL,1979,6607
Colombia,COL,1980,6825
Colombia,COL,1981,6708
Colombia,COL,1982,6621
Colombia,COL,1983,6447
Colombia,COL,1984,6421
Colombia,COL,1985,6331
Colombia,COL,1986,6592
Colombia,COL,1987,6501
Colombia,COL,1988,6587
Colombia,COL,1989,6593
Colombia,COL,1990,6760
Colombia,COL,1991,6620
Colombia,COL,1992,6875
Colombia,COL,1993,7170
Colombia,COL,1994,7401
Colombia,COL,1995,7597
Colombia,COL,1996,7464
Colombia,COL,1997,7504
Colombia,COL,1998,7216
Colombia,COL,1999,6748
Colombia,COL,2000,6860
Colombia,COL,2001,6813
Colombia,COL,2002,6846
Colombia,COL,2003,6982
Colombia,COL,2004,7240
Colombia,COL,2005,7688
Colombia,COL,2006,8325
Colombia,COL,2007,9060
Colombia,COL,2008,9764
Colombia,COL,2009,9843
Colombia,COL,2010,10618
Colombia,COL,2011,11788
Colombia,COL,2012,12078
Colombia,COL,2013,12293
Colombia,COL,2014,12619
Colombia,COL,2015,12858
Colombia,COL,2016,12963
